index,filename,timestamp_seconds,segment_index,segment_start,segment_end,segment_text,visual_group,is_representative,representative_filename,group_size,group_start_seconds,group_end_seconds
0,frame_000001.jpg,0.0,0,0.0,5.58,так понимаю же все да все все,0,True,frame_000001.jpg,1,0.0,0.0
1,frame_000002.jpg,2.5,0,0.0,5.58,так понимаю же все да все все,1,True,frame_000002.jpg,1,2.5,2.5
2,frame_000003.jpg,5.0,0,0.0,5.58,так понимаю же все да все все,2,True,frame_000003.jpg,3,5.0,10.0
3,frame_000006.jpg,7.5,1,5.58,11.6,а вот это добрый день да не против шея на,3,True,frame_000006.jpg,1,12.5,12.5
4,frame_000007.jpg,10.0,1,5.58,11.6,а вот это добрый день да не против шея на,4,True,frame_000007.jpg,1,15.0,15.0
5,frame_000008.jpg,12.5,2,11.6,17.68,ты буду обращаться да сэплами это разов,5,True,frame_000008.jpg,1,17.5,17.5
6,frame_000009.jpg,15.0,2,11.6,17.68,ты буду обращаться да сэплами это разов,6,True,frame_000009.jpg,1,20.0,20.0
7,frame_000010.jpg,17.5,2,11.6,17.68,ты буду обращаться да сэплами это разов,7,True,frame_000010.jpg,1,22.5,22.5
8,frame_000011.jpg,20.0,3,17.68,22.56,у кого-то собака очень приятный да заимно,8,True,frame_000011.jpg,1,25.0,25.0
9,frame_000012.jpg,22.5,3,17.68,22.56,у кого-то собака очень приятный да заимно,9,True,frame_000012.jpg,6,27.5,40.0
10,frame_000018.jpg,25.0,4,22.56,27.8,так тиментрация видно,10,True,frame_000018.jpg,1,42.5,42.5
11,frame_000019.jpg,27.5,4,22.56,27.8,так тиментрация видно,11,True,frame_000019.jpg,7,45.0,60.0
12,frame_000026.jpg,30.0,5,28.8,34.44,когда да видно да супер так вам насколько,12,True,frame_000026.jpg,1,62.5,62.5
13,frame_000027.jpg,32.5,5,28.8,34.44,когда да видно да супер так вам насколько,13,True,frame_000027.jpg,1,65.0,65.0
14,frame_000028.jpg,35.0,6,34.44,37.56,я понял нужно сиремка именно под байнг и под,14,True,frame_000028.jpg,2,67.5,70.0
15,frame_000030.jpg,37.5,6,34.44,37.56,я понял нужно сиремка именно под байнг и под,15,True,frame_000030.jpg,1,72.5,72.5
16,frame_000031.jpg,40.0,7,37.56,41.64,нафор то есть будете тем тем заниматься,16,True,frame_000031.jpg,1,75.0,75.0
17,frame_000032.jpg,42.5,8,41.64,46.32,раньше кем это сначала мы планируем да,17,True,frame_000032.jpg,6,77.5,90.0
18,frame_000038.jpg,45.0,8,41.64,46.32,раньше кем это сначала мы планируем да,18,True,frame_000038.jpg,1,92.5,92.5
19,frame_000039.jpg,47.5,9,46.32,50.04,да пользовались мы пользовались айревом,19,True,frame_000039.jpg,1,95.0,95.0
20,frame_000040.jpg,50.0,9,46.32,50.04,да пользовались мы пользовались айревом,20,True,frame_000040.jpg,1,97.5,97.5
21,frame_000041.jpg,52.5,10,50.04,55.8,немного альтер в cp понял,21,True,frame_000041.jpg,1,100.0,100.0
22,frame_000042.jpg,55.0,10,50.04,55.8,немного альтер в cp понял,22,True,frame_000042.jpg,1,102.5,102.5
23,frame_000043.jpg,57.5,11,55.8,59.76,хорошо даже не буду спрашивать почему,23,True,frame_000043.jpg,4,105.0,112.5
24,frame_000047.jpg,60.0,12,59.76,66.72,ищете что-то другое так сначала вы будете,24,True,frame_000047.jpg,1,115.0,115.0
25,frame_000048.jpg,62.5,12,59.76,66.72,ищете что-то другое так сначала вы будете,25,True,frame_000048.jpg,1,117.5,117.5
26,frame_000049.jpg,65.0,12,59.76,66.72,ищете что-то другое так сначала вы будете,26,True,frame_000049.jpg,1,120.0,120.0
27,frame_000050.jpg,67.5,13,66.72,69.6,что делать а подождите вы вы хотите как,27,True,frame_000050.jpg,2,122.5,125.0
28,frame_000052.jpg,70.0,14,69.6,72.32,у вас первозачрёдно вы начинать будете,28,True,frame_000052.jpg,1,127.5,127.5
29,frame_000053.jpg,72.5,15,72.32,75.0,чего банк будет или как наетфор будет,29,True,frame_000053.jpg,2,130.0,132.5
30,frame_000055.jpg,75.0,15,72.32,75.0,чего банк будет или как наетфор будет,30,True,frame_000055.jpg,1,135.0,135.0
31,frame_000056.jpg,77.5,16,75.0,78.88,больше байнга сначала начнем до байнг,31,True,frame_000056.jpg,1,137.5,137.5
32,frame_000057.jpg,80.0,17,78.88,82.68,хорошо а какой сорт у вас,32,True,frame_000057.jpg,1,140.0,140.0
33,frame_000058.jpg,82.5,17,78.88,82.68,хорошо а какой сорт у вас,33,True,frame_000058.jpg,2,142.5,145.0
34,frame_000060.jpg,85.0,18,83.08,87.04,фейсбук я почему спрашиваю просто у нас,34,True,frame_000060.jpg,2,147.5,150.0
35,frame_000062.jpg,87.5,19,87.04,90.48,есть фишки которые именно гугловикам,35,True,frame_000062.jpg,1,152.5,152.5
36,frame_000063.jpg,90.0,19,87.04,90.48,есть фишки которые именно гугловикам,36,True,frame_000063.jpg,1,155.0,155.0
37,frame_000064.jpg,92.5,20,90.48,93.0,очень сильно помолоте они так чуть-чуть,37,True,frame_000064.jpg,1,157.5,157.5
38,frame_000065.jpg,95.0,21,93.0,98.12,меньше у нас и гугл модиск но гугл уже,38,True,frame_000065.jpg,9,160.0,180.0
39,frame_000074.jpg,97.5,21,93.0,98.12,меньше у нас и гугл модиск но гугл уже,39,True,frame_000074.jpg,5,182.5,192.5
40,frame_000079.jpg,100.0,22,98.12,100.28,скорее мы там со второго с третьего,40,True,frame_000079.jpg,1,195.0,195.0
41,frame_000080.jpg,102.5,23,100.28,103.24,месяца как стартанемф и боня тоже,41,True,frame_000080.jpg,9,197.5,217.5
42,frame_000089.jpg,105.0,24,103.24,107.52,интересно на самом деле сейчас у вас,42,True,frame_000089.jpg,40,220.0,317.5
43,frame_000129.jpg,107.5,24,103.24,107.52,интересно на самом деле сейчас у вас,43,True,frame_000129.jpg,5,320.0,330.0
44,frame_000134.jpg,110.0,25,107.52,110.76,кита рабином трекер какой-то есть,44,True,frame_000134.jpg,1,332.5,332.5
45,frame_000135.jpg,112.5,26,110.76,114.32,китор да китор смотрите просто,45,True,frame_000135.jpg,1,335.0,335.0
46,frame_000136.jpg,115.0,27,114.32,116.72,почему я спрашиваю у нас есть,46,True,frame_000136.jpg,1,337.5,337.5
47,frame_000137.jpg,117.5,28,116.72,120.12,встроенный трекер он не прям что,47,True,frame_000137.jpg,1,340.0,340.0
48,frame_000138.jpg,120.0,28,116.72,120.12,встроенный трекер он не прям что,48,True,frame_000138.jpg,2,342.5,345.0
49,frame_000140.jpg,122.5,29,120.12,124.28,супер полноценная история он больше,49,True,frame_000140.jpg,3,347.5,352.5
50,frame_000143.jpg,125.0,30,124.28,127.0,делался для гугловиков потому что для,50,True,frame_000143.jpg,20,355.0,402.5
51,frame_000163.jpg,127.5,31,127.0,129.96,гугла кита рабином они не подходят,51,True,frame_000163.jpg,4,405.0,412.5
52,frame_000167.jpg,130.0,32,129.96,133.12,по той причине что они палятся в углу,52,True,frame_000167.jpg,10,415.0,437.5
53,frame_000177.jpg,132.5,32,129.96,133.12,по той причине что они палятся в углу,53,True,frame_000177.jpg,2,440.0,442.5
54,frame_000179.jpg,135.0,33,133.12,135.68,то есть там архитектура так сделана что,54,True,frame_000179.jpg,1,445.0,445.0
55,frame_000180.jpg,137.5,34,135.68,139.36,она довольно таки легко исполить вот и,55,True,frame_000180.jpg,6,447.5,460.0
56,frame_000186.jpg,140.0,35,139.36,141.6,обычно под гугл хосит отдельно на,56,True,frame_000186.jpg,1,462.5,462.5
57,frame_000187.jpg,142.5,36,141.6,144.4,каких-то северах вот и по сути мы,57,True,frame_000187.jpg,19,465.0,510.0
58,frame_000206.jpg,145.0,37,144.4,147.24,сделали возможность управление,58,True,frame_000206.jpg,1,512.5,512.5
59,frame_000207.jpg,147.5,38,147.24,150.4,доминами управление серверами,59,True,frame_000207.jpg,23,515.0,570.0
60,frame_000230.jpg,150.0,38,147.24,150.4,доминами управление серверами,60,True,frame_000230.jpg,4,572.5,580.0
61,frame_000234.jpg,152.5,39,150.4,153.04,непосредственно и самой серымки,61,True,frame_000234.jpg,14,582.5,615.0
62,frame_000248.jpg,155.0,41,154.88,157.4,есть вот это делал раздевал links тут мы,62,True,frame_000248.jpg,34,617.5,700.0
63,frame_000282.jpg,157.5,42,157.4,159.88,можем добавить домины можем их,63,True,frame_000282.jpg,1,702.5,702.5
